,M76STMFLOW,M76CHWTONS,M76TFRARealPower,M76TFRBRealPower,M76TFRCRealPower,M76TFRDRealPower,TMP F,TMP C
1/1/2019 0:00,5829.500488,122.7358475,116.2355194,425.3031311,184.4318085,250.2624359,5.6,42.08
1/1/2019 1:00,5731.606934,141.5305176,114.5701675,398.1437988,185.4240723,252.3706512,3.9,39.02
1/1/2019 2:00,5362.573242,145.4269714,117.3805008,404.9446411,184.9805298,248.4621277,3.3,37.94
1/1/2019 3:00,5058.202148,125.3788986,114.044754,414.9566956,183.0541534,255.3553619,2.8,37.04
1/1/2019 4:00,5040.810059,144.7602997,113.7336349,408.4904785,184.4481964,249.9979706,3.3,37.94
1/1/2019 5:00,4669.895508,124.2056046,111.7962418,416.1379089,183.1695557,255.9295959,3.9,39.02
1/1/2019 6:00,4802.092285,143.3182678,113.5468826,406.8164673,185.4972229,252.9532471,4.4,39.92
1/1/2019 7:00,4059.175293,263.559082,123.4355774,407.3442688,181.0620117,264.5706482,5.6,42.08
1/1/2019 8:00,4023.216553,215.9350891,125.7013245,404.4366455,180.6903687,250.9294281,6.1,42.98
1/1/2019 9:00,3639.404785,228.6625214,124.6111298,412.3214722,181.8877258,250.8477173,7.8,46.04
1/1/2019 10:00,4318.350586,285.0890503,128.6163177,402.8622437,178.1757965,248.3066864,8.3,46.94
1/1/2019 11:00,4542.954102,235.1486511,137.8691254,447.4651184,185.6245575,255.6762543,10,50
1/1/2019 12:00,4510.732422,196.067215,138.755661,430.5475464,184.4659882,249.8809814,12.2,53.96
1/1/2019 13:00,4973.103027,204.3217163,139.0691833,447.4887085,184.5422668,252.4537354,12.2,53.96
1/1/2019 14:00,5248.83252,164.8278503,146.364624,451.7236023,186.2529297,254.5895996,13.3,55.94
1/1/2019 15:00,5666.251465,147.0080261,142.4402161,457.5062256,178.7753906,257.4382019,14.4,57.92
1/1/2019 16:00,6317.552734,151.924881,147.8441315,462.9172668,187.5465393,256.2788391,14.4,57.92
1/1/2019 17:00,6647.395508,99.95310211,143.108429,437.3801575,188.41539,264.7884827,13.3,55.94
1/1/2019 18:00,6083.484863,134.9994507,137.4829559,448.2671204,183.7461243,253.9664001,12.8,55.04
1/1/2019 19:00,6234.561035,125.0064545,146.7615967,449.5430603,184.7058868,255.3718109,12.2,53.96
1/1/2019 20:00,6172.61084,142.9565125,136.1990509,416.11203,188.4320831,255.5084381,10.6,51.08
1/1/2019 21:00,6059.963379,126.8792877,132.4706573,431.0773315,187.9579315,250.9394226,8.9,48.02
1/1/2019 22:00,6527.445313,134.7170258,126.0123825,420.379425,184.3161163,245.2785187,7.2,44.96
1/1/2019 23:00,6834.990234,140.085968,124.2183304,423.1357422,190.305542,253.2290192,6.7,44.06
1/2/2019 0:00,6890.166016,149.0757751,118.0227127,425.0728149,184.6482849,251.0524902,5.6,42.08
1/2/2019 1:00,6734.547363,143.7556,117.2571564,411.3821411,195.3393402,245.6673584,5,41
1/2/2019 2:00,6584.82959,131.4713745,122.5638428,416.7269592,182.8368988,254.328476,3.9,39.02
1/2/2019 3:00,7768.283691,144.5743256,113.804512,428.4971313,185.7335205,251.0687714,2.8,37.04
1/2/2019 4:00,7467.91748,136.7288818,118.787796,392.8739319,185.1074829,257.6225586,1.7,35.06
1/2/2019 5:00,7913.638672,159.6595764,114.6459656,417.5176086,187.9624023,253.2175598,1.1,33.98
1/2/2019 6:00,7721.575684,142.8248444,116.3355026,420.1359863,189.236969,253.667038,0.6,33.08
1/2/2019 7:00,10061.47168,157.1356354,137.8377075,482.7653503,176.6946106,279.2828979,0,32
1/2/2019 8:00,9432.430664,146.0382385,156.9424438,470.9871826,188.8465729,294.3305359,-0.6,30.92
1/2/2019 9:00,8959.557617,144.5366364,168.2470398,499.3335266,193.5158081,340.6406555,-1.1,30.02
1/2/2019 10:00,8300.271484,149.2264862,188.9768372,527.7861938,203.1405334,354.4545593,-1.7,28.94
1/2/2019 11:00,7003.722168,141.4146576,197.540863,507.5192566,186.0945587,348.7047119,-1.7,28.94
1/2/2019 12:00,7955.376465,148.8609924,189.5175323,528.6578369,201.8259735,347.2767639,-2.2,28.04
1/2/2019 13:00,6244.968262,137.3340302,193.3624115,540.2997437,199.5487518,294.4348755,-1.7,28.94
1/2/2019 14:00,7582.075684,146.3805847,193.0698853,550.2025146,206.8513489,347.5935974,-1.1,30.02
1/2/2019 15:00,7300.332031,138.3955231,192.2449493,537.1193848,194.4301605,324.338562,0,32
1/2/2019 16:00,7227.178711,156.2612,186.3960724,526.5894775,200.062561,324.2280884,0.6,33.08
1/2/2019 17:00,6958.105957,132.3391724,186.8318634,522.7091064,196.1054535,330.1121826,1.7,35.06
1/2/2019 18:00,6546.74707,140.5750427,179.3388214,514.7808228,195.8311157,317.7306519,2.2,35.96
1/2/2019 19:00,7817.149902,140.8199768,160.8605957,489.1369019,193.2583313,319.2059326,1.7,35.06
1/2/2019 20:00,7655.177246,143.7689056,151.799881,469.3036499,194.7893829,317.4788208,1.1,33.98
1/2/2019 21:00,7551.120117,155.7922821,145.0575562,467.3312683,190.3134155,310.7714233,0.6,33.08
1/2/2019 22:00,7321.912598,136.5101318,143.5888824,447.075531,190.4878082,312.8818359,0,32
1/2/2019 23:00,6782.537109,162.7447357,139.0968475,436.2227478,189.9939423,306.3171692,0,32
1/3/2019 0:00,6793.466797,137.3570099,129.0347748,409.4631958,185.3550262,314.2487793,0,32
1/3/2019 1:00,6829.23877,137.7594452,124.7948608,420.0774536,188.2666016,305.1451111,0,32
1/3/2019 2:00,6690.740234,142.5200195,126.8066101,434.0352783,185.7344055,305.2728882,0,32
1/3/2019 3:00,6283.598633,137.0860901,114.8845367,416.0957642,187.8918457,308.4555359,0,32
1/3/2019 4:00,5979.693359,154.7413025,119.824852,424.8426208,185.2265167,248.4909363,0,32
1/3/2019 5:00,5876.932129,140.8111572,112.7806244,407.9593201,190.1620026,251.3319855,0,32
1/3/2019 6:00,5940.189941,155.1520691,123.5366058,433.0157776,189.7575378,256.5535889,0.6,33.08
1/3/2019 7:00,7776.702637,146.2090454,130.7346954,493.9093933,186.4944,333.1158142,1.7,35.06
1/3/2019 8:00,7791.14502,138.6657715,169.7846985,490.5222778,182.0654144,336.1810608,1.7,35.06
1/3/2019 9:00,7192.724609,143.4938965,171.9947052,517.979126,200.3958893,294.1374207,1.7,35.06
1/3/2019 10:00,7034.225586,137.6693573,182.7597198,536.8626709,192.092453,294.5570679,2.2,35.96
1/3/2019 11:00,6361.039551,148.7726593,195.2796021,550.2773438,185.1216431,295.8192749,2.2,35.96
1/3/2019 12:00,7600.291504,132.047348,195.6266479,556.8800659,179.7223053,348.7316284,2.8,37.04
1/3/2019 13:00,7710.796387,140.2563019,199.0498657,556.1524048,179.1209717,344.9955139,3.3,37.94
1/3/2019 14:00,5082.803223,151.8437958,200.9082794,536.8575439,200.8390808,342.2539368,3.3,37.94
1/3/2019 15:00,6406.482422,156.3910828,199.7621918,538.1219482,214.9781952,346.4180603,3.3,37.94
1/3/2019 16:00,9061.316406,140.6526337,199.5551605,564.1542969,202.9579468,293.781189,5.6,42.08
1/3/2019 17:00,7900.929199,137.7290192,187.5573425,540.4210815,218.9355927,293.0215149,7.2,44.96
1/3/2019 18:00,7866.154785,128.3043213,179.6457062,541.4176025,203.8603973,268.2270813,7.2,44.96
1/3/2019 19:00,6544.306152,128.5690155,170.2766724,499.9742126,201.5775299,273.2010803,7.2,44.96
1/3/2019 20:00,6600.724121,139.1828766,153.2397766,480.9997864,194.1203461,269.5509644,7.2,44.96
1/3/2019 21:00,6944.717773,130.9022217,143.953064,479.1870117,193.5426178,258.7423706,6.7,44.06
1/3/2019 22:00,6276.074707,134.1498108,140.2336273,460.1669617,188.3927155,251.5576782,5.6,42.08
1/3/2019 23:00,6612.612305,132.3846283,139.3090668,449.626709,186.8186035,255.1678925,5,41
1/4/2019 0:00,6339.246582,128.839859,126.93853,437.8921509,184.565567,250.6217041,4.4,39.92
1/4/2019 1:00,7297.122559,137.5527039,127.9314957,432.8851929,181.6165314,250.9011841,3.9,39.02
1/4/2019 2:00,6615.295898,126.0826874,127.7243805,423.4054871,184.0655823,252.5372314,3.3,37.94
1/4/2019 3:00,6410.394043,139.3393097,113.0717163,411.1252747,181.6868744,253.4794159,3.3,37.94
1/4/2019 4:00,6455.757324,119.5036163,124.5653458,407.8626404,182.7641449,251.8948517,3.9,39.02
1/4/2019 5:00,6649.079102,139.5119019,123.884346,419.1462097,179.6238861,250.1672363,3.9,39.02
1/4/2019 6:00,6257.459961,122.7345276,121.5059509,429.622406,180.328064,247.5938721,3.3,37.94
1/4/2019 7:00,8637.915039,140.1023254,150.897995,505.7850647,196.5088959,283.6902771,3.3,37.94
1/4/2019 8:00,7807.88916,139.5806732,162.1846771,492.4515686,187.1013336,317.0149536,2.8,37.04
1/4/2019 9:00,7410.618164,136.78685,178.3721161,522.4274292,189.310791,336.5805969,2.8,37.04
1/4/2019 10:00,6858.245117,135.1791077,194.7802429,564.34021,206.0207214,354.3731995,2.2,35.96
1/4/2019 11:00,6438.577148,143.8417511,199.8818817,558.9819336,211.8530121,338.6817627,2.2,35.96
1/4/2019 12:00,8017.861816,141.3559723,196.302948,572.350708,228.0323334,341.6851807,1.7,35.06
1/4/2019 13:00,5117.12207,133.6492462,197.659256,527.2429199,215.7434387,291.8156738,2.2,35.96
1/4/2019 14:00,6065.898438,137.3339081,199.2038727,554.5444336,202.4551697,341.4502258,3.3,37.94
1/4/2019 15:00,5532.95459,146.971344,199.015976,539.722229,193.8940582,315.2319031,5,41
1/4/2019 16:00,5335.988281,133.8375702,191.4615326,541.104126,201.3768463,318.9496155,6.1,42.98
1/4/2019 17:00,5615.588379,139.8002319,188.639267,534.1401367,199.1030884,320.4076538,7.2,44.96
1/4/2019 18:00,6320.724121,149.844223,181.0687866,504.9375916,198.0692291,311.533783,8.3,46.94
1/4/2019 19:00,6076.111328,133.947998,164.5257874,502.3110352,196.7988892,313.8618164,8.3,46.94
1/4/2019 20:00,6154.651367,130.6237946,147.9128571,470.7115784,190.3662567,310.0596619,8.3,46.94
1/4/2019 21:00,6172.717773,141.0322571,143.1775208,463.5625,187.6441956,308.6043396,7.8,46.04
1/4/2019 22:00,6439.546875,131.7557068,137.8819275,457.3839111,188.7814026,308.8408508,6.7,44.06
1/4/2019 23:00,6019.369141,140.3105469,135.1866913,438.1722717,188.545105,301.0628052,6.1,42.98
1/5/2019 0:00,5817.14209,146.2880707,122.3739471,428.509491,186.6150055,299.5810547,6.1,42.98
1/5/2019 1:00,5814.902832,129.7282562,121.7067413,429.1182861,184.0297241,308.3930664,5.6,42.08
1/5/2019 2:00,5711.439453,145.1079254,124.0322876,414.9359131,184.5388947,293.9799194,5.6,42.08
1/5/2019 3:00,5874.434082,135.2822113,121.4014969,420.0496521,181.9192963,303.1726074,5.6,42.08
1/5/2019 4:00,5758.350586,147.9431763,118.6399384,420.1411743,181.6104889,248.3106079,4.4,39.92
1/5/2019 5:00,5889.896973,132.3363647,122.5787354,397.7096252,183.760498,250.8558044,4.4,39.92
1/5/2019 6:00,5929.388672,141.4468536,117.5035095,407.5849609,181.6490021,246.9449158,4.4,39.92
1/5/2019 7:00,5370.655762,137.1920471,124.5354767,413.8833618,183.730423,256.3192749,4.4,39.92
1/5/2019 8:00,5718.942383,120.9337387,127.9713287,420.6682129,184.0496674,262.1231995,4.4,39.92
1/5/2019 9:00,5214.352539,129.4327087,136.4033966,410.1428528,184.3223267,254.2293701,4.4,39.92
1/5/2019 10:00,5394.324707,123.6293716,135.4529419,421.3303223,190.8071747,257.456665,3.9,39.02
1/5/2019 11:00,6051.500488,130.205368,145.842514,458.170105,188.580719,262.7987671,4.4,39.92
1/5/2019 12:00,5690.084473,144.6098022,146.4225464,442.4429626,188.7792664,259.7620544,4.4,39.92
