,M9STMFLOW,M9CHWTONS,M9TFRARealPower,M9TFRBRealPower,TMP C,TMP F
1/1/2019 0:00,2103.490967,29.63606834,14.28271198,20.61774063,5.6,42.08
1/1/2019 1:00,1895.463257,31.63834,14.73518372,20.02133751,3.9,39.02
1/1/2019 2:00,1561.630127,39.76688385,15.17971897,20.87827301,3.3,37.94
1/1/2019 3:00,1551.489258,67.35746002,15.73757267,19.67004204,2.8,37.04
1/1/2019 4:00,1338.465454,62.64268494,15.75054455,19.9716301,3.3,37.94
1/1/2019 5:00,1375.722778,42.09866333,14.80057526,20.63708878,3.9,39.02
1/1/2019 6:00,1262.015625,60.53853989,14.49557018,19.83310699,4.4,39.92
1/1/2019 7:00,933.7001343,133.3003082,14.66576481,19.88540268,5.6,42.08
1/1/2019 8:00,805.9585571,140.4316101,16.04482079,22.81004715,6.1,42.98
1/1/2019 9:00,583.9572144,140.234375,14.62353802,22.76881218,7.8,46.04
1/1/2019 10:00,444.0844727,140.7182007,15.97412109,23.61503029,8.3,46.94
1/1/2019 11:00,479.9630737,140.267334,15.35006428,24.53949547,10,50
1/1/2019 12:00,429.0149841,139.9568634,16.17030525,22.1854744,12.2,53.96
1/1/2019 13:00,495.8251343,140.5577698,16.22425652,24.20537949,12.2,53.96
1/1/2019 14:00,505.8382263,138.1189728,15.28578758,22.40974808,13.3,55.94
1/1/2019 15:00,469.692688,137.2223969,14.96186638,24.76468086,14.4,57.92
1/1/2019 16:00,504.2523499,145.6350403,17.66282272,28.56788635,14.4,57.92
1/1/2019 17:00,1726.08606,71.07341003,15.9811182,24.61124229,13.3,55.94
1/1/2019 18:00,2129.149902,80.66308594,15.78837872,24.30615997,12.8,55.04
1/1/2019 19:00,2195.714844,76.3937149,15.83163166,25.79465294,12.2,53.96
1/1/2019 20:00,2106.728271,79.19120789,15.29477119,23.31596184,10.6,51.08
1/1/2019 21:00,2144.391846,81.92191315,15.42008495,22.33305359,8.9,48.02
1/1/2019 22:00,2763.687988,87.0736084,14.88231659,21.61725426,7.2,44.96
1/1/2019 23:00,2724.140869,93.758255,14.67835426,23.30888939,6.7,44.06
1/2/2019 0:00,2662.14209,102.1380081,14.63793659,19.61678696,5.6,42.08
1/2/2019 1:00,2639.554199,101.119072,15.04842949,20.16594505,5,41
1/2/2019 2:00,2669.625244,84.152565,15.28947258,19.29912758,3.9,39.02
1/2/2019 3:00,2797.912598,80.14492035,14.77365589,19.94722939,2.8,37.04
1/2/2019 4:00,2806.216064,77.2592926,14.29274273,20.40774155,1.7,35.06
1/2/2019 5:00,2816.845459,77.69128418,14.52030277,20.43561172,1.1,33.98
1/2/2019 6:00,2799.765625,78.71027374,15.30979919,19.57802582,0.6,33.08
1/2/2019 7:00,3516.437256,80.4872818,15.1166029,24.87636375,0,32
1/2/2019 8:00,3370.089111,84.7585907,16.50172234,27.59733772,-0.6,30.92
1/2/2019 9:00,2997.641846,85.03573608,17.19660378,30.25516129,-1.1,30.02
1/2/2019 10:00,3046.245361,86.38072968,17.78565979,31.54218102,-1.7,28.94
1/2/2019 11:00,3150.994141,83.53588867,17.90442085,31.90562439,-1.7,28.94
1/2/2019 12:00,2741.949463,84.80752563,19.08478546,31.6453228,-2.2,28.04
1/2/2019 13:00,2577.828857,86.25033569,18.98345757,31.07827568,-1.7,28.94
1/2/2019 14:00,2443.902344,84.75045013,19.07002258,31.07111931,-1.1,30.02
1/2/2019 15:00,2539.831299,80.97634125,18.51817703,32.10825348,0,32
1/2/2019 16:00,2470.219238,83.42178345,17.80787086,31.00150681,0.6,33.08
1/2/2019 17:00,2505.664551,82.01156616,17.75289726,31.33767509,1.7,35.06
1/2/2019 18:00,2698.960205,84.59558105,15.65527058,29.24135208,2.2,35.96
1/2/2019 19:00,2672.006836,83.42995453,15.97979927,28.20692635,1.7,35.06
1/2/2019 20:00,2662.898193,78.08259583,15.56580067,23.91986847,1.1,33.98
1/2/2019 21:00,2452.439697,77.73207855,15.59021759,23.85065842,0.6,33.08
1/2/2019 22:00,2537.470703,77.85432434,15.55486393,26.94937706,0,32
1/2/2019 23:00,2337.198975,76.51750946,16.3889637,24.06087303,0,32
1/3/2019 0:00,2596.946045,75.6942215,16.70802498,22.43842506,0,32
1/3/2019 1:00,2495.087158,74.54486847,16.19009018,20.52006721,0,32
1/3/2019 2:00,2249.937744,75.44966888,16.53441429,21.48183632,0,32
1/3/2019 3:00,2287.111572,76.61534882,15.73896694,20.73720169,0,32
1/3/2019 4:00,2168.181641,74.97688293,15.68826485,20.08973312,0,32
1/3/2019 5:00,2096.09375,78.77545929,15.24021816,20.03082657,0,32
1/3/2019 6:00,2156.736572,80.87034607,15.20742989,19.53715134,0.6,33.08
1/3/2019 7:00,2216.816895,81.23721313,16.94789124,23.53105736,1.7,35.06
1/3/2019 8:00,2610.147461,80.34313202,17.55955505,27.49285698,1.7,35.06
1/3/2019 9:00,2497.326904,81.68190002,17.63790703,30.18520355,1.7,35.06
1/3/2019 10:00,2556.224365,80.5524826,19.09971619,33.44721985,2.2,35.96
1/3/2019 11:00,1950.115845,72.52332306,18.22741318,32.6868515,2.2,35.96
1/3/2019 12:00,1693.563477,62.94535828,19.96686935,33.08992386,2.8,37.04
1/3/2019 13:00,1636.736572,44.40475845,19.92759514,30.78653145,3.3,37.94
1/3/2019 14:00,1491.035645,43.17243576,18.67557335,30.31635666,3.3,37.94
1/3/2019 15:00,1768.45874,47.40764236,17.9430542,31.91671371,3.3,37.94
1/3/2019 16:00,1977.140869,56.42506409,20.11902237,30.41245651,5.6,42.08
1/3/2019 17:00,2044.161499,83.23983002,17.71506119,28.59754562,7.2,44.96
1/3/2019 18:00,1951.845215,64.33960724,16.33190346,28.06816483,7.2,44.96
1/3/2019 19:00,2037.571899,75.82194519,16.13598824,28.4246769,7.2,44.96
1/3/2019 20:00,2093.207031,77.51036835,15.42047596,24.55857468,7.2,44.96
1/3/2019 21:00,1950.44519,79.48627472,15.28778267,22.29824257,6.7,44.06
1/3/2019 22:00,2194.055176,80.15981293,14.63940525,23.35897827,5.6,42.08
1/3/2019 23:00,2017.804565,76.36743164,15.56515026,23.18988991,5,41
1/4/2019 0:00,2038.32251,75.00949097,15.40572643,20.73167229,4.4,39.92
1/4/2019 1:00,2513.399658,76.01047516,15.96831322,21.32582283,3.9,39.02
1/4/2019 2:00,2263.896729,76.26807404,14.50269222,21.53060913,3.3,37.94
1/4/2019 3:00,2263.977295,72.89279175,14.10360146,19.77129364,3.3,37.94
1/4/2019 4:00,2403.941162,65.3207016,14.03896999,20.08518982,3.9,39.02
1/4/2019 5:00,2212.875488,60.99227142,14.93092728,20.0739212,3.9,39.02
1/4/2019 6:00,2579.721191,64.17625427,14.31392479,20.34534836,3.3,37.94
1/4/2019 7:00,2893.850098,82.9568634,16.47466278,24.61402321,3.3,37.94
1/4/2019 8:00,2793.360107,88.01045227,16.69622231,26.95553207,2.8,37.04
1/4/2019 9:00,2616.243896,86.18348694,17.2098465,28.00560188,2.8,37.04
1/4/2019 10:00,2325.217529,85.6878891,17.85242844,30.00807953,2.2,35.96
1/4/2019 11:00,2076.34082,83.89781952,18.60913658,28.89857864,2.2,35.96
1/4/2019 12:00,1717.507446,79.46180725,18.32313728,31.1193924,1.7,35.06
1/4/2019 13:00,1549.11377,71.13365173,18.70284843,31.76270676,2.2,35.96
1/4/2019 14:00,1845.14856,59.24191666,18.68756294,32.88763046,3.3,37.94
1/4/2019 15:00,1844.708008,51.41654968,19.38755417,31.2657795,5,41
1/4/2019 16:00,1689.308594,49.24822617,17.85055733,31.60503769,6.1,42.98
1/4/2019 17:00,1907.672485,48.73743439,18.22516632,30.68701553,7.2,44.96
1/4/2019 18:00,1647.601807,52.86751175,18.38776779,26.84819603,8.3,46.94
1/4/2019 19:00,1830.828247,54.50265884,16.34699249,26.8215065,8.3,46.94
1/4/2019 20:00,1859.125977,59.58697128,16.75405693,23.49262047,8.3,46.94
1/4/2019 21:00,2099.147217,69.35192871,15.81261826,23.24041176,7.8,46.04
1/4/2019 22:00,1884.098267,72.27749634,16.96051788,24.23007393,6.7,44.06
1/4/2019 23:00,1856.386475,75.36925507,15.98055172,25.73402786,6.1,42.98
1/5/2019 0:00,2113.101563,73.49115753,16.63088036,19.58428383,6.1,42.98
1/5/2019 1:00,1670.510864,72.04890442,16.1325264,20.11680031,5.6,42.08
1/5/2019 2:00,1735.416748,71.3141861,15.59941387,19.88165092,5.6,42.08
1/5/2019 3:00,1731.141357,72.85752869,14.95267868,20.70812416,5.6,42.08
1/5/2019 4:00,1796.023682,72.72819519,15.09645081,19.37133217,4.4,39.92
1/5/2019 5:00,1677.096802,72.2064743,15.62255001,19.93239784,4.4,39.92
