BUILDING_NUMBER,BUILDING_NAME_LONG,BUILDING_GROUP_LEVEL1,CLUSTER_NUM,BUILDING_TYPE,BUILDING_USE,SITE,CAMPUS_SECTOR,YEAR_CONST_BEGAN,YEAR_OCCUPIED,LATITUDE_WGS,LONGITUDE_WGS,OWNERSHIP_TYPE,BUILDING_HEIGHT,NUM_OF_ROOMS,EXT_GROSS_AREA,ASSIGNABLE_AREA,NON_ASSIGNABLE_AREA,BLDG_SRV,CIRCULAT,CLASSRMS,GENERAL,HEALTH,LABS,MECHANIC,OFFICES,RESIDENT,SPECIAL,STUDY,SUPPORT,UNCLASS,USEABLE_AREA,STRUCT_AREA,LEVEL3_CATEGORY,LEVEL2_CATEGORY,NUMBER_OF_UNITS,UNIT_OF_MEASURE,START_DATE,END_DATE,START_DATE_USE
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Water,Purchased,440,CCF,5/1/2019,5/31/2019,2/1/2019
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Water,Purchased,778,CCF,8/1/2019,8/31/2019,5/1/2019
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Water,Purchased,600,CCF,11/1/2019,11/30/2019,8/1/2019
1,Henry L Pierce Engineering Laboratory,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1917,42.3580859,-71.09235723,OWNED,81.4,404,116038.74,75939.28,29171.29,2154.71,19795.43,11518.63,1938.52,0,28105.06,7221.15,34269.44,0,0,0,107.63,0,105110.57,10928.17,Water,Purchased,392,CCF,2/1/2020,2/29/2020,11/1/2019
2,THE SIMONS BUILDING,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35881273,-71.09018269,OWNED,82.6,385,133168.22,73643.53,43067,2369.95,26166.93,9058.09,0,0,22447.11,14530.12,41823.91,0,0,0,314.42,0,116710.53,16457.69,Water,Purchased,504,CCF,5/1/2019,5/31/2019,2/1/2019
2,THE SIMONS BUILDING,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35881273,-71.09018269,OWNED,82.6,385,133168.22,73643.53,43067,2369.95,26166.93,9058.09,0,0,22447.11,14530.12,41823.91,0,0,0,314.42,0,116710.53,16457.69,Water,Purchased,893,CCF,8/1/2019,8/31/2019,5/1/2019
2,THE SIMONS BUILDING,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35881273,-71.09018269,OWNED,82.6,385,133168.22,73643.53,43067,2369.95,26166.93,9058.09,0,0,22447.11,14530.12,41823.91,0,0,0,314.42,0,116710.53,16457.69,Water,Purchased,688,CCF,11/1/2019,11/30/2019,8/1/2019
2,THE SIMONS BUILDING,Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35881273,-71.09018269,OWNED,82.6,385,133168.22,73643.53,43067,2369.95,26166.93,9058.09,0,0,22447.11,14530.12,41823.91,0,0,0,314.42,0,116710.53,16457.69,Water,Purchased,449,CCF,2/1/2020,2/29/2020,11/1/2019
3,Richard Cockburn MacLaurin Buildings (3),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35900694,-71.09239741,OWNED,85.5,551,160646.24,103915.31,41124.83,2453.56,28704.74,5999.82,0,0,45727.19,9966.53,50083.22,0,0,799.95,1305.13,0,145040.14,15606.1,Water,Purchased,609,CCF,5/1/2019,5/31/2019,2/1/2019
3,Richard Cockburn MacLaurin Buildings (3),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35900694,-71.09239741,OWNED,85.5,551,160646.24,103915.31,41124.83,2453.56,28704.74,5999.82,0,0,45727.19,9966.53,50083.22,0,0,799.95,1305.13,0,145040.14,15606.1,Water,Purchased,1078,CCF,8/1/2019,8/31/2019,5/1/2019
3,Richard Cockburn MacLaurin Buildings (3),Non-CUP,Lab & Mixed Use,ACADEMIC,AER,MIT,MAIN GROUP,1913,1916,42.35900694,-71.09239741,OWNED,85.5,551,160646.24,103915.31,41124.83,2453.56,28704.74,5999.82,0,0,45727.19,9966.53,50083.22,0,0,799.95,1305.13,0,145040.14,15606.1,Water,Purchased,830,CCF,11/1/2019,11/30/2019,8/1/2019
